127.0.0.1, 2013-12-03 00:39:13, POST, /admin/default/index, HTTP/1.1, 303, 0.033814
127.0.0.1, 2013-12-03 00:39:13, GET, /admin/default/site, HTTP/1.1, 200, 0.047091
127.0.0.1, 2013-12-03 00:39:13, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.000957
127.0.0.1, 2013-12-03 00:39:13, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000517
127.0.0.1, 2013-12-03 00:39:13, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000347
127.0.0.1, 2013-12-03 00:39:13, POST, /admin/default/check_version, HTTP/1.1, 200, 0.619554
127.0.0.1, 2013-12-03 00:39:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2013-12-03 00:39:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000314
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/default/index, HTTP/1.1, 200, 0.077245
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/static/css/bootstrap.css, HTTP/1.1, 200, 0.001668
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000559
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000691
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/static/css/style.css, HTTP/1.1, 200, 0.001052
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery-1.4.1.min.js, HTTP/1.1, 200, 0.000750
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery-func.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2013-12-03 00:39:15, GET, /Comprehensive_Logistics_Management_Portal/static/js/jquery.jcarousel.pack.js, HTTP/1.1, 200, 0.001872
127.0.0.1, 2013-12-03 00:39:17, GET, /Comprehensive_Logistics_Management_Portal/static/images/footer.gif, HTTP/1.1, 200, 0.000893
127.0.0.1, 2013-12-03 00:39:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000228
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.031241
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001525
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001192
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002063
127.0.0.1, 2013-12-03 00:40:57, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002468
